trigrams_tweets,frequency,quadgrams_reviews,frequency_reviews
,,"('not', 'let', 'download')",6
,,"('play', 'song', 'this')",6
,,"('worst', 'music', 'player')",6
,,"('gole', 'play', 'not')",6
,,"('not', 'like', 'not')",6
,,"('application', 'ever', 'not')",6
,,"('this', 'application', 'make')",6
,,"('this', 'worthless', 'application')",6
,,"('play', 'music', 'please')",5
,,"('not', 'download', 'song')",5
,,"('doe', 'not', 'allow')",5
,,"('keep', 'giving', 'error')",5
,,"('doe', 'not', 'download')",5
,,"('use', 'gole', 'play')",5
,,"('doe', 'not', 'exist')",5
,,"('playing', 'music', 'this')",5
,,"('application', 'start', 'playing')",5
,,"('second', 'playing', 'song')",5
,,"('still', 'not', 'working')",5
,,"('working', 'please', 'fix')",5
,,"('add', 'song', 'playlist')",5
,,"('not', 'even', 'instal')",5
,,"('second', 'please', 'fix')",5
,,"('this', 'application', 'gole')",5
,,"('please', 'fix', 'issue')",5
,,"('first', 'second', 'song')",5
,,"('play', 'second', 'close')",5
,,"('music', 'playback', 'error')",5
,,"('music', 'not', 'know')",5
,,"('not', 'even', 'use')",5
,,"('crash', 'second', 'into')",5
,,"('this', 'application', 'suck')",5
,,"('this', 'really', 'annoying')",5
,,"('not', 'work', 'properly')",5
,,"('this', 'application', 'great')",5
,,"('download', 'song', 'not')",5
,,"('every', 'time', 'play')",5
,,"('play', 'one', 'song')",5
,,"('this', 'application', 'shuts')",5
,,"('cleared', 'cache', 'restarted')",5
,,"('update', 'play', 'second')",5
,,"('could', 'not', 'play')",5
,,"('playlist', 'this', 'application')",5
,,"('play', 'song', 'downloaded')",5
,,"('song', 'downloaded', 'song')",5
,,"('not', 'even', 'want')",5
,,"('not', 'play', 'second')",5
,,"('this', 'application', 'would')",5
,,"('update', 'application', 'doe')",5
,,"('in', 'android', 'auto')",5
,,"('application', 'last', 'update')",5
,,"('close', 'this', 'application')",5
,,"('gole', 'music', 'play')",5
,,"('this', 'application', 'worst')",5
,,"('downloaded', 'song', 'not')",5
,,"('this', 'application', 'use')",5
,,"('not', 'playing', 'song')",5
,,"('not', 'working', 'this')",5
,,"('give', 'this', 'application')",5
,,"('play', 'song', 'want')",5
,,"('song', 'want', 'play')",5
,,"('select', 'multiple', 'song')",5
,,"('play', 'second', 'shuts')",5
,,"('gole', 'play', 'application')",5
,,"('this', 'application', 'useless')",5
,,"('please', 'fix', 'problem')",5
,,"('this', 'application', 'go')",5
,,"('music', 'not', 'working')",5
,,"('samsung', 'music', 'application')",5
,,"('play', 'song', 'song')",5
,,"('download', 'this', 'application')",5
,,"('listen', 'music', 'not')",5
,,"('play', 'song', 'in')",5
,,"('this', 'application', 'always')",5
,,"('play', 'second', 'cut')",5
,,"('application', 'ever', 'used')",5
,,"('one', 'song', 'time')",5
,,"('not', 'find', 'way')",5
