trigrams_tweets,frequency,quadgrams_reviews,frequency_reviews
,,"('doe', 'not', 'let')",5
,,"('since', 'new', 'update')",5
,,"('not', 'play', 'online')",5
,,"('application', 'not', 'like')",5
,,"('download', 'this', 'application')",5
,,"('this', 'application', 'useless')",5
,,"('memory', 'card', 'song')",5
,,"('this', 'soon', 'possible')",5
,,"('update', 'gole', 'play')",5
,,"('not', 'change', 'song')",5
,,"('sometimes', 'doe', 'not')",5
,,"('application', 'this', 'worst')",5
,,"('this', 'issue', 'not')",5
,,"('doe', 'not', 'unload')",5
,,"('music', 'in', 'car')",5
,,"('download', 'song', 'not')",5
,,"('this', 'application', 'phone')",5
,,"('not', 'play', 'folder')",5
,,"('music', 'stop', 'playing')",5
,,"('not', 'even', 'download')",5
,,"('play', 'gole', 'play')",5
,,"('new', 'update', 'not')",5
,,"('song', 'list', 'not')",5
,,"('play', 'this', 'application')",5
,,"('want', 'listen', 'music')",5
,,"('fix', 'this', 'bug')",5
,,"('issue', 'this', 'application')",5
,,"('application', 'stop', 'playing')",5
,,"('music', 'file', 'not')",5
