tweet-id,timestamp,text,app_name,comment,bug_report,topic_distribution
1120103052403453952,2019-04-21 23:12:32,it will not let me share anything please fix this,facebook,"['wont_let', 'share', 'anything', 'fix']",1,"[0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.04670329670329673, 0.027472527472527482, 0.04029304029304031, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.0338827838827839, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482]"
1120098800050348034,2019-04-21 22:55:39,your shit broke,facebook,"['shit', 'break', 'pic_twitter', 'com', 'pgdhsuxzos']",1,"[0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.04670329670329673, 0.02747252747252748, 0.04670329670329673, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748]"
1120056757181530112,2019-04-21 20:08:35,hey facebok i have been locked out of marketplace and no luck getting help reinstating me please fix a soon a possible facebok facebokhelp facebokmarketplace,facebook,"['facebook', 'be', 'lock', 'marketplace', 'luck', 'get', 'help', 'reinstate', 'fix', 'facebook', 'facebookhelp']",1,"[0.02421307506053269, 0.02421307506053269, 0.02421307506053269, 0.02421307506053269, 0.03739574926015605, 0.02797955340328222, 0.02421307506053269, 0.029862792574656988, 0.04116222760290556, 0.02421307506053269, 0.02421307506053269, 0.02421307506053269, 0.04304546677428034, 0.02421307506053269, 0.05999461931665324, 0.02421307506053269, 0.02421307506053269, 0.029862792574656988, 0.02421307506053269, 0.02421307506053269, 0.02421307506053269, 0.02421307506053269, 0.041162227602905575, 0.03927898843153081, 0.02421307506053269, 0.02421307506053269, 0.03927898843153081, 0.02421307506053269, 0.02421307506053269, 0.029862792574656984, 0.02421307506053269, 0.02421307506053269, 0.02421307506053269, 0.02421307506053269, 0.02421307506053269]"
1120019563356114944,2019-04-21 17:40:47,i am unable to post anything on my facebok account i am also unable to share any post a well i am also unable to react on other is post please help to reolve my account issue,facebook,"['unable', 'post', 'anything', 'facebook', 'account', 'also', 'unable', 'share', 'post', 'also', 'unable', 'react', 'other', 'post', 'help', 'reolve', 'account', 'issue']",1,"[0.02267573696145124, 0.05265810027714788, 0.02267573696145124, 0.02267573696145124, 0.02267573696145124, 0.02267573696145124, 0.03502141597379692, 0.02267573696145124, 0.02267573696145124, 0.02620307382212143, 0.02267573696145124, 0.024439405391786337, 0.05442176870748299, 0.03854875283446711, 0.04031242126480221, 0.049130763416477694, 0.02267573696145124, 0.02267573696145124, 0.02267573696145124, 0.027966742252456527, 0.02267573696145124, 0.02267573696145124, 0.02267573696145124, 0.024439405391786337, 0.02267573696145124, 0.02267573696145124, 0.02267573696145124, 0.02267573696145124, 0.035021415973796904, 0.02267573696145124, 0.02267573696145124, 0.024439405391786337, 0.06500377928949357, 0.026203073822121434, 0.02267573696145124]"
1119999357992996865,2019-04-21 16:20:30,for the last few month when getting message on my fire device the icon keep showing to say i have not read the message even though i have the messenger application say it is updated but it is still doing this which i find extremely iritatingfrustrating,facebook,"['last', 'month', 'get', 'message', 'fire', 'device', 'icon', 'keep', 'show', 'say', 'have', 'not', 'read', 'message', 'even_though', 'have', 'messenger', 'app', 'say', 'update', 'still', 'do', 'find', 'extremely', 'irritate', 'frustrating']",1,"[0.028815628815628817, 0.0253968253968254, 0.02197802197802198, 0.023687423687423687, 0.023687423687423687, 0.02197802197802198, 0.02197802197802198, 0.02197802197802198, 0.02197802197802198, 0.02197802197802198, 0.02197802197802198, 0.02197802197802198, 0.023687423687423687, 0.023687423687423687, 0.02197802197802198, 0.02197802197802198, 0.023687423687423687, 0.02710622710622711, 0.030525030525030524, 0.0253968253968254, 0.04590964590964591, 0.02197802197802198, 0.02197802197802198, 0.030525030525030524, 0.028815628815628817, 0.03223443223443224, 0.02197802197802198, 0.03565323565323566, 0.02197802197802198, 0.023687423687423687, 0.05787545787545789, 0.11086691086691086, 0.0253968253968254, 0.023687423687423687, 0.02197802197802198]"
1119985219635957761,2019-04-21 15:24:19,run by hypocrits racist mysoginists hate speech supporter radical extremist and obstructing free liberty of expression downwithfacebok banfacebok destroyfacebok world we have a problem destroy for good create a better one,facebook,"['run', 'hypocrit', 'racist', 'mysoginist', 'hate_speech', 'supporter', 'radical', 'extremist', 'obstruct', 'free', 'liberty', 'expression', 'banfacebook', 'destroyfacebook', 'world', 'have', 'problem', 'destroy', 'good', 'create', 'well']",1,"[0.02012072434607646, 0.021685669572993515, 0.02168566957299352, 0.02012072434607646, 0.03577017661524704, 0.02012072434607646, 0.02012072434607646, 0.02012072434607646, 0.03420523138832998, 0.02012072434607646, 0.02012072434607646, 0.02012072434607646, 0.021685669572993515, 0.0639391906997541, 0.021685669572993515, 0.02168566957299352, 0.02168566957299352, 0.062374245472837035, 0.02012072434607646, 0.021685669572993515, 0.03420523138832998, 0.02012072434607646, 0.08271853342275878, 0.02012072434607646, 0.02951039570757881, 0.03420523138832998, 0.03264028616141292, 0.021685669572993515, 0.02168566957299352, 0.04515984797674939, 0.02168566957299352, 0.02951039570757881, 0.02012072434607646, 0.032640286161412915, 0.02481556002682763]"
1119924730792951808,2019-04-21 11:23:57,can not believe i am having to contact you via twitter but they at least have a help centre where someone can solve your problem instead of saying we have heard you and we are doing nothing about it i have notification that have no actual content behind them make them go,facebook,"['can', 'not', 'believe', 'be', 'have', 'contact', 'twitter', 'least', 'have', 'help_centre', 'someone', 'solve', 'problem', 'instead', 'say', 'have', 'hear', 'do', 'nothing', 'have', 'notification', 'have', 'actual', 'content', 'make', 'go']",1,"[0.023809523809523815, 0.038624338624338624, 0.023809523809523815, 0.023809523809523815, 0.040476190476190485, 0.023809523809523815, 0.040476190476190485, 0.023809523809523815, 0.023809523809523815, 0.023809523809523815, 0.023809523809523815, 0.023809523809523815, 0.029365079365079372, 0.025661375661375663, 0.023809523809523815, 0.025661375661375666, 0.025661375661375666, 0.033068783068783074, 0.040476190476190485, 0.023809523809523815, 0.03862433862433863, 0.023809523809523815, 0.0515873015873016, 0.023809523809523815, 0.023809523809523815, 0.023809523809523815, 0.023809523809523815, 0.023809523809523815, 0.023809523809523815, 0.044179894179894194, 0.040476190476190485, 0.023809523809523815, 0.023809523809523815, 0.023809523809523815, 0.025661375661375666]"
1119905623292829696,2019-04-21 10:08:02,why can not people who are banned still communicate with family if you go to the trouble of updating your profile these people who are not offended of your thought should not be banned from basic communication furthermore placing ad on market place still require ace,facebook,"['can', 'not', 'people', 'ban', 'still', 'communicate', 'family', 'go', 'trouble', 'update', 'profile', 'people', 'not', 'offend', 'thought', 'not', 'ban', 'basic', 'communication', 'furthermore', 'place', 'ad', 'market_place', 'still', 'require', 'acce']",1,"[0.020703933747411998, 0.020703933747411998, 0.020703933747411998, 0.04968944099378881, 0.03358638141246836, 0.020703933747411998, 0.03358638141246836, 0.020703933747411998, 0.020703933747411998, 0.020703933747411998, 0.044858523119392674, 0.020703933747411998, 0.020703933747411998, 0.020703933747411998, 0.051299746951920855, 0.020703933747411998, 0.020703933747411998, 0.020703933747411998, 0.022314239705544046, 0.020703933747411998, 0.0641821946169772, 0.023924545663676085, 0.04807913503565677, 0.020703933747411998, 0.020703933747411998, 0.03197607545433631, 0.030365769496204262, 0.020703933747411998, 0.0351966873706004, 0.020703933747411998, 0.020703933747411998, 0.020703933747411998, 0.020703933747411998, 0.020703933747411998, 0.07545433632390151]"
1119886837294587905,2019-04-21 08:53:23,dear facebok team i am very in trouble to share my website link it is was not spam but some of the user has reported just to take down my website so i request you to unblock a soon a possible my website is,facebook,"['dear', 'facebook', 'team', 'trouble', 'share', 'website', 'link', 'not', 'spam', 'user', 'report', 'take', 'website', 'request', 'unblock', 'website', 'be']",1,"[0.023041474654377885, 0.023041474654377885, 0.02483358934971839, 0.023041474654377885, 0.039170506912442414, 0.023041474654377885, 0.03737839221710191, 0.024833589349718386, 0.02662570404505889, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.08934971838197649, 0.039170506912442414, 0.023041474654377885, 0.0320020481310804, 0.023041474654377885, 0.023041474654377885, 0.032002048131080395, 0.023041474654377885, 0.03558627752176141, 0.023041474654377885, 0.023041474654377885, 0.023041474654377885, 0.0337941628264209, 0.023041474654377885, 0.023041474654377885, 0.049923195084485436, 0.023041474654377885, 0.026625704045058894, 0.023041474654377885, 0.02483358934971839, 0.023041474654377885]"
1119869589175853056,2019-04-21 07:44:50,i report a issue for what is application web and you are team sends a solution of uninstaling what is application mobile application and then they respond saying that there is a idiot up in your system really n now asking me to report everything again whats going on,facebook,"['report', 'issue', 's', 'app', 'web', 'team', 'send', 'solution', 'uninstalling', 's', 'app', 'mobile', 'app', 'respond', 'saying', 'be', 'goof', 'system', 'really', 'ask', 'report', 'everything', 's', 'go', 'pic_twitter', 'com', 'rhn', 'gwbr']",1,"[0.021321961620469076, 0.03624733475479744, 0.02298033641317223, 0.021321961620469076, 0.027955460791281687, 0.021321961620469076, 0.03624733475479744, 0.021321961620469076, 0.022980336413172233, 0.021321961620469076, 0.03458895996209429, 0.021321961620469076, 0.02961383558398483, 0.026297085998578534, 0.03790570954750059, 0.021321961620469076, 0.022980336413172233, 0.03293058516939114, 0.056147832267235256, 0.021321961620469076, 0.03293058516939114, 0.021321961620469076, 0.03127221037668799, 0.051172707889125806, 0.021321961620469076, 0.02961383558398483, 0.03956408434020373, 0.02795546079128168, 0.022980336413172233, 0.03127221037668799, 0.03127221037668798, 0.036247334754797425, 0.021321961620469076, 0.021321961620469076, 0.02298033641317223]"
