trigrams_tweets,frequency,quadgrams_reviews,frequency_reviews
,,"('not', 'run', 'in')",4
,,"('run', 'in', 'background')",4
,,"('this', 'last', 'update')",4
,,"('this', 'application', 'always')",4
,,"('good', 'this', 'application')",4
,,"('used', 'love', 'this')",4
,,"('please', 'bring', 'back')",4
,,"('this', 'application', 'get')",4
,,"('gole', 'map', 'constantly')",4
,,"('doe', 'not', 'provide')",4
,,"('able', 'use', 'this')",4
,,"('not', 'able', 'use')",4
,,"('bad', 'application', 'not')",4
,,"('fix', 'this', 'soon')",4
,,"('map', 'not', 'load')",4
,,"('application', 'not', 'find')",4
,,"('show', 'current', 'location')",4
,,"('still', 'not', 'fixed')",4
,,"('in', 'middle', 'town')",4
,,"('this', 'application', 'in')",4
,,"('put', 'in', 'address')",4
,,"('get', 'driving', 'direction')",4
,,"('saved', 'map', 'list')",4
,,"('say', 'not', 'find')",4
,,"('going', 'this', 'application')",4
,,"('gole', 'doe', 'not')",4
,,"('not', 'like', 'this')",4
,,"('exact', 'location', 'not')",4
,,"('area', 'not', 'know')",4
,,"('in', 'opposite', 'direction')",4
,,"('gole', 'map', 'stopped')",4
,,"('not', 'know', 'going')",4
,,"('time', 'gole', 'map')",4
,,"('gole', 'map', 'last')",4
,,"('map', 'show', 'wrong')",4
,,"('this', 'latest', 'update')",4
,,"('still', 'not', 'working')",4
,,"('problem', 'this', 'application')",4
,,"('map', 'navigation', 'not')",4
,,"('updated', 'gole', 'map')",4
,,"('fix', 'this', 'not')",4
,,"('not', 'even', 'show')",4
,,"('direction', 'doe', 'not')",4
,,"('not', 'working', 'anymore')",4
,,"('map', 'while', 'driving')",4
,,"('instal', 'this', 'application')",4
,,"('not', 'working', 'navigation')",4
,,"('application', 'stopped', 'working')",4
,,"('update', 'did', 'not')",4
,,"('not', 'let', 'instal')",4
,,"('not', 'work', 'keep')",4
,,"('working', 'this', 'application')",4
,,"('this', 'application', 'stopped')",4
,,"('use', 'online', 'map')",4
,,"('doe', 'not', 'seem')",4
,,"('update', 'last', 'update')",4
,,"('could', 'not', 'find')",4
,,"('used', 'this', 'application')",4
,,"('best', 'navigation', 'application')",4
,,"('this', 'application', 'please')",4
,,"('saying', 'searching', 'gps')",4
,,"('application', 'new', 'update')",4
,,"('open', 'this', 'application')",4
,,"('time', 'not', 'working')",4
,,"('instal', 'update', 'not')",4
,,"('bus', 'time', 'link')",4
,,"('ever', 'since', 'latest')",4
,,"('exit', 'in', 'direction')",4
,,"('location', 'not', 'accurate')",3
,,"('direction', 'half', 'time')",3
,,"('application', 'keep', 'losing')",3
,,"('soon', 'possible', 'not')",3
,,"('message', 'searching', 'gps')",3
,,"('not', 'good', 'application')",3
,,"('say', 'street', 'name')",3
,,"('want', 'go', 'place')",3
,,"('way', 'this', 'application')",3
,,"('anymore', 'not', 'even')",3
,,"('route', 'not', 'showing')",3
,,"('show', 'wrong', 'place')",3
,,"('not', 'able', 'see')",3
,,"('map', 'application', 'doe')",3
,,"('update', 'not', 'work')",3
,,"('one', 'this', 'application')",3
,,"('try', 'close', 'application')",3
,,"('this', 'application', 'gps')",3
,,"('around', 'in', 'circle')",3
,,"('not', 'work', 'android')",3
,,"('not', 'work', 'anymore')",3
,,"('every', 'time', 'application')",3
,,"('this', 'application', 'daily')",3
,,"('time', 'try', 'use')",3
,,"('try', 'use', 'this')",3
,,"('doe', 'not', 'run')",3
,,"('not', 'know', 'happened')",3
,,"('centre', 'button', 'disappear')",3
,,"('using', 'centre', 'button')",3
,,"('gole', 'map', 'year')",3
,,"('not', 'know', 'use')",3
,,"('properly', 'in', 'phone')",3
,,"('this', 'application', 'suck')",3
,,"('lost', 'every', 'time')",3
,,"('not', 'like', 'not')",3
,,"('not', 'good', 'not')",3
,,"('lost', 'gps', 'signal')",3
,,"('worst', 'application', 'in')",3
,,"('application', 'always', 'searching')",3
,,"('gps', 'not', 'give')",3
,,"('time', 'open', 'map')",3
,,"('this', 'application', 'much')",3
,,"('much', 'lag', 'wrong')",3
,,"('lag', 'wrong', 'direction')",3
,,"('direction', 'this', 'application')",3
,,"('year', 'this', 'application')",3
,,"('show', 'long', 'route')",3
,,"('show', 'wrong', 'route')",3
,,"('time', 'doe', 'not')",3
,,"('map', 'not', 'accurate')",3
,,"('gps', 'not', 'showing')",3
,,"('latest', 'update', 'application')",3
,,"('application', 'work', 'fine')",3
,,"('lost', 'using', 'this')",3
,,"('working', 'not', 'showing')",3
,,"('not', 'showing', 'current')",3
,,"('working', 'not', 'working')",3
,,"('latest', 'update', 'crash')",3
,,"('time', 'terrible', 'application')",3
,,"('arrow', 'not', 'working')",3
,,"('one', 'way', 'street')",3
,,"('not', 'show', 'current')",3
,,"('keep', 'closing', 'while')",3
,,"('while', 'using', 'navigation')",3
,,"('not', 'able', 'find')",3
,,"('doe', 'not', 'load')",3
,,"('start', 'doe', 'not')",3
,,"('gole', 'map', 'in')",3
,,"('get', 'rid', 'this')",3
,,"('every', 'time', 'go')",3
,,"('time', 'show', 'wrong')",3
,,"('update', 'latest', 'update')",3
,,"('last', 'update', 'screwed')",3
,,"('route', 'gole', 'map')",3
,,"('not', 'working', 'slow')",3
,,"('problem', 'still', 'not')",3
,,"('not', 'sure', 'going')",3
,,"('point', 'this', 'application')",3
,,"('blue', 'dot', 'showing')",3
,,"('doe', 'not', 'track')",3
,,"('turn', 'turn', 'direction')",3
,,"('application', 'working', 'not')",3
,,"('ever', 'since', 'update')",3
,,"('not', 'waste', 'time')",3
,,"('this', 'map', 'application')",3
,,"('not', 'work', 'please')",3
,,"('find', 'another', 'application')",3
,,"('use', 'another', 'application')",3
,,"('map', 'last', 'update')",3
,,"('still', 'without', 'internet')",3
,,"('application', 'several', 'time')",3
,,"('issue', 'doe', 'not')",3
,,"('not', 'navigate', 'anymore')",3
,,"('note', 'this', 'application')",3
,,"('not', 'working', 'phone')",3
,,"('please', 'fix', 'not')",3
,,"('lose', 'gps', 'signal')",3
,,"('never', 'this', 'problem')",3
,,"('update', 'still', 'not')",3
,,"('fix', 'gole', 'map')",3
,,"('service', 'doe', 'not')",3
,,"('since', 'new', 'update')",3
,,"('deep', 'annoying', 'voice')",3
,,"('annoying', 'voice', 'guidance')",3
,,"('this', 'not', 'working')",3
,,"('application', 'not', 'update')",3
,,"('not', 'update', 'location')",3
,,"('latest', 'update', 'not')",3
,,"('take', 'forever', 'load')",3
,,"('not', 'even', 'see')",3
,,"('keep', 'freezing', 'not')",3
,,"('last', 'update', 'this')",3
,,"('gole', 'map', 'recently')",3
,,"('this', 'application', 'slow')",3
,,"('screen', 'while', 'using')",3
,,"('gole', 'map', 'used')",3
,,"('map', 'application', 'this')",3
,,"('gole', 'map', 'would')",3
,,"('in', 'navigation', 'mode')",3
,,"('please', 'fix', 'problem')",3
,,"('this', 'application', 'until')",3
,,"('not', 'responding', 'not')",3
,,"('update', 'not', 'even')",3
,,"('please', 'fix', 'map')",3
,,"('location', 'stopped', 'working')",3
,,"('gps', 'this', 'application')",3
,,"('not', 'even', 'instal')",3
,,"('showing', 'wrong', 'route')",3
,,"('unfortunately', 'gole', 'map')",3
,,"('place', 'want', 'go')",3
,,"('put', 'address', 'in')",3
,,"('application', 'say', 'gps')",3
,,"('please', 'fix', 'application')",3
,,"('like', 'gole', 'map')",3
,,"('did', 'not', 'know')",3
,,"('update', 'suck', 'not')",3
,,"('direction', 'application', 'doe')",3
,,"('working', 'properly', 'please')",3
,,"('updated', 'version', 'not')",3
,,"('not', 'show', 'arrow')",3
,,"('button', 'doe', 'not')",3
,,"('application', 'application', 'doe')",3
,,"('every', 'time', 'click')",3
,,"('april', 'update', 'doe')",3
,,"('doe', 'not', 'clear')",3
,,"('not', 'clear', 'recent')",3
,,"('recent', 'history', 'month')",3
,,"('history', 'month', 'ago')",3
,,"('month', 'ago', 'removed')",3
,,"('ago', 'removed', 'april')",3
,,"('removed', 'april', 'update')",3
,,"('april', 'update', 'able')",3
,,"('update', 'able', 'clear')",3
,,"('able', 'clear', 'recent')",3
,,"('searching', 'gps', 'this')",3
,,"('not', 'work', 'right')",3
,,"('not', 'work', 'without')",3
,,"('route', 'not', 'updated')",3
,,"('every', 'single', 'time')",3
,,"('editor', 'choice', 'application')",3
,,"('driving', 'gole', 'map')",3
,,"('tell', 'turn', 'right')",3
,,"('doe', 'not', 'help')",3
,,"('not', 'even', 'get')",3
,,"('please', 'look', 'into')",3
,,"('route', 'this', 'application')",3
,,"('never', 'use', 'this')",3
,,"('worst', 'application', 'ever')",3
,,"('running', 'in', 'background')",3
,,"('sometimes', 'doe', 'not')",3
,,"('get', 'this', 'application')",3
,,"('hate', 'this', 'application')",3
,,"('map', 'not', 'open')",3
,,"('this', 'application', 'showing')",3
,,"('not', 'good', 'working')",3
,,"('gps', 'every', 'time')",3
,,"('constantly', 'searching', 'gps')",3
,,"('this', 'problem', 'soon')",3
,,"('good', 'application', 'sometimes')",3
,,"('route', 'internet', 'access')",3
,,"('last', 'update', 'last')",3
,,"('application', 'not', 'install')",3
,,"('please', 'solve', 'problem')",3
,,"('not', 'give', 'direction')",3
,,"('this', 'gole', 'application')",3
,,"('best', 'application', 'ever')",3
,,"('not', 'working', 'realme')",3
,,"('doe', 'not', 'speak')",3
,,"('annoying', 'please', 'fix')",3
,,"('show', 'exact', 'location')",3
,,"('this', 'version', 'not')",3
,,"('bring', 'compass', 'back')",3
,,"('not', 'working', 'application')",3
,,"('application', 'not', 'showing')",3
,,"('not', 'working', 'doe')",3
,,"('working', 'doe', 'not')",3
,,"('not', 'work', 'unles')",3
,,"('permission', 'use', 'location')",3
,,"('trying', 'get', 'direction')",3
,,"('this', 'map', 'doe')",3
,,"('update', 'location', 'not')",3
,,"('not', 'use', 'application')",3
,,"('cleared', 'cache', 'uninstaled')",3
,,"('many', 'aquarium', 'location')",3
