index,tweet-id,timestamp,text,app_name,comment,bug_report,topic_distribution
0,1116845768609079297,2019-04-12 23:29:15,snapchat stop this nonsense i am currently using the latest update from play store and i can say that the camera and video quality is still lagy and full of shitbe true to your word and fix this and,snapchat,"['stop', 'nonsense', 'be', 'currently', 'use', 'latest_update', 'play_store', 'say', 'camera', 'video', 'quality', 'be', 'still', 'laggy', 'full', 'shit', 'true', 'word', 'fix']",1,"[0.025641025641025626, 0.025641025641025626, 0.03589743589743589, 0.025641025641025626, 0.03931623931623931, 0.04444444444444444, 0.03589743589743589, 0.025641025641025626, 0.04102564102564102, 0.02735042735042734, 0.025641025641025626, 0.051282051282051266, 0.025641025641025626, 0.029059829059829047, 0.030769230769230757, 0.04273504273504273, 0.025641025641025626, 0.025641025641025626, 0.025641025641025626, 0.029059829059829047, 0.03931623931623931, 0.05811965811965811, 0.025641025641025626, 0.03076923076923076, 0.03931623931623931, 0.03589743589743589, 0.027350427350427337, 0.029059829059829047, 0.051282051282051266, 0.025641025641025626]"
1,1116844090522468352,2019-04-12 23:22:35,please report it if you start to have trouble again,snapchat,"['report', 'start', 'have', 'trouble']",1,"[0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.05031446540880505, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.05031446540880505, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.05031446540880505, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145, 0.031446540880503145]"
2,1116837701116997633,2019-04-12 22:57:12,i amso dumb i was doing that trend here the motherfucking tea on snapchat to send to my friend and my fucking nail broke aaa,snapchat,"['dumb', 'do', 'trend', 'motherfucke', 'tea', 'snapchat', 'send', 'friend', 'fuck', 'nail', 'break', 'aaaaaa']",1,"[0.0273224043715847, 0.029143897996357016, 0.0273224043715847, 0.0273224043715847, 0.04553734061930786, 0.0273224043715847, 0.0273224043715847, 0.029143897996357016, 0.0273224043715847, 0.04735883424408016, 0.03642987249544628, 0.0273224043715847, 0.04007285974499091, 0.029143897996357016, 0.04007285974499091, 0.04371584699453554, 0.0273224043715847, 0.041894353369763215, 0.0273224043715847, 0.0273224043715847, 0.03278688524590165, 0.0273224043715847, 0.0273224043715847, 0.03096539162112933, 0.0273224043715847, 0.04189435336976322, 0.0273224043715847, 0.06010928961748636, 0.040072859744990905, 0.029143897996357016]"
3,1116826544444530688,2019-04-12 22:12:52,this is why i love social medium got someone on my snapchat who reply horrible thing to my pic no matter what they are so i thought delete them then i had a brainwave tonight i spamed them got my score up over and they still havent deleted me i win,snapchat,"['be', 'love', 'social_media', 'get', 'someone', 'reply', 'horrible', 'thing', 'pic', 'matter', 'think', 'delete', 'brainwave', 'tonight', 'spamme', 'get', 'score', 'still', 'delete', 'win']",1,"[0.029059829059829054, 0.029059829059829054, 0.032478632478632474, 0.02564102564102563, 0.034188034188034185, 0.02564102564102563, 0.034188034188034185, 0.037606837606837605, 0.02564102564102563, 0.032478632478632474, 0.02564102564102563, 0.027350427350427337, 0.027350427350427337, 0.027350427350427337, 0.041025641025641026, 0.02564102564102563, 0.027350427350427337, 0.03760683760683761, 0.052991452991452984, 0.027350427350427337, 0.027350427350427337, 0.02564102564102563, 0.027350427350427337, 0.05128205128205128, 0.02564102564102563, 0.029059829059829054, 0.02564102564102563, 0.06495726495726493, 0.052991452991452984, 0.04444444444444444]"
4,1116813793949028352,2019-04-12 21:22:12,hi can you fix snake squad because i die to thin air please i amjust tryna be the biggest snake but i can not because your snaking me out and killing me from air,snapchat,"['fix', 'snake', 'squad', 'die', 'thin', 'air', 'pls', 'tryna', 'big', 'snake', 'can', 'not', 'snake', 'kill', 'air']",1,"[0.02604166666666666, 0.02604166666666666, 0.02604166666666666, 0.02604166666666666, 0.034722222222222224, 0.02604166666666666, 0.02604166666666666, 0.02604166666666666, 0.02604166666666666, 0.05729166666666667, 0.02604166666666666, 0.02604166666666666, 0.02604166666666666, 0.03298611111111111, 0.02604166666666666, 0.02604166666666666, 0.02604166666666666, 0.02604166666666666, 0.04340277777777779, 0.02604166666666666, 0.04166666666666668, 0.08854166666666664, 0.05729166666666667, 0.053819444444444454, 0.04166666666666668, 0.02604166666666666, 0.027777777777777776, 0.02604166666666666, 0.02604166666666666, 0.02604166666666666]"
5,1116813229152448512,2019-04-12 21:19:57,indeed sadly i am now trying to encourage kid to watch coronation street to get them off snapchat at least it has character and a narrative instead of second clip of nonsense postman could not have imagined how bad thing were going to get,snapchat,"['indeed', 'sadly', 'try', 'encourage', 'kid', 'watch', 'coronation', 'street', 'get', 'snapchat', 'least', 'character', 'narrative', 'instead', 'sec', 'clip', 'nonsense', 'postman', 'could', 'not', 'have', 'imagine', 'bad', 'thing', 'go', 'get']",1,"[0.027350427350427347, 0.025641025641025637, 0.025641025641025637, 0.025641025641025637, 0.04102564102564103, 0.025641025641025637, 0.025641025641025637, 0.029059829059829057, 0.0358974358974359, 0.027350427350427343, 0.025641025641025637, 0.025641025641025637, 0.027350427350427343, 0.025641025641025637, 0.04444444444444445, 0.04615384615384616, 0.027350427350427343, 0.046153846153846156, 0.05470085470085471, 0.04102564102564103, 0.0358974358974359, 0.025641025641025637, 0.04273504273504274, 0.027350427350427343, 0.027350427350427343, 0.06324786324786325, 0.03931623931623932, 0.029059829059829057, 0.030769230769230767, 0.025641025641025637]"
6,1116810766836019200,2019-04-12 21:10:10,i know right snapchat had to be the problem out of all my aps that said i never use it anymore,snapchat,"['ikr', 'problem', 'app', 'say', 'never', 'use', 'anymore']",1,"[0.03144654088050314, 0.03144654088050314, 0.04821802935010483, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03354297693920335, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.05031446540880504, 0.03144654088050314, 0.03354297693920335, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.048218029350104816, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314]"
7,1116800457329008641,2019-04-12 20:29:12,hi so i just upgraded from an iphone kiss to and iphone x and when i amusing the front camera on snapchat its zoomed in a bit and the quality is kind of blurybad this is only the case on the snapchat application if i try the photo application on iphone its perfect,snapchat,"['upgrade', 'iphone', 'be', 'use', 'front_camera', 'bit', 'quality', 'be', 'kind', 'blurry', 'bad', 'be', 'case', 'snapchat', 'app', 'try', 'photo', 'app', 'iphone', 'perfect']",1,"[0.038647342995169094, 0.024154589371980673, 0.05152979066022545, 0.024154589371980673, 0.024154589371980673, 0.025764895330112718, 0.0644122383252818, 0.04025764895330114, 0.024154589371980673, 0.024154589371980673, 0.024154589371980673, 0.09661835748792269, 0.024154589371980673, 0.07246376811594203, 0.025764895330112718, 0.035426731078905, 0.024154589371980673, 0.02898550724637681, 0.025764895330112718, 0.03703703703703705, 0.025764895330112718, 0.025764895330112718, 0.024154589371980673, 0.025764895330112718, 0.025764895330112718, 0.024154589371980673, 0.03381642512077295, 0.024154589371980673, 0.024154589371980673, 0.03059581320450886]"
8,1116799981892132864,2019-04-12 20:27:19,i deleted cache it took a long time to do this then i removed the folder from snapchat via the pc then logged out and reinstalled again no success too bad this again,snapchat,"['delete', 'cache', 'take', 'long', 'time', 'do', 'removed', 'folder', 'pc', 'log', 'reinstall', 'success', 'bad']",1,"[0.027777777777777783, 0.027777777777777783, 0.05740740740740744, 0.027777777777777783, 0.027777777777777783, 0.027777777777777783, 0.05555555555555559, 0.03703703703703705, 0.027777777777777783, 0.029629629629629638, 0.03148148148148149, 0.029629629629629638, 0.04629629629629632, 0.027777777777777783, 0.027777777777777783, 0.027777777777777783, 0.027777777777777783, 0.029629629629629638, 0.027777777777777783, 0.027777777777777783, 0.04444444444444447, 0.06666666666666671, 0.027777777777777783, 0.029629629629629638, 0.027777777777777783, 0.027777777777777783, 0.027777777777777783, 0.040740740740740765, 0.029629629629629638, 0.027777777777777783]"
9,1116799737435496450,2019-04-12 20:26:21,i swear ya sing flamingo one time in front of sone middle scholers i just almost got trampled by kid trying to get my tiktoksnapchat and every adult instinct i had kicked in and i just clammed up immediately cause i know thats bad business,snapchat,"['swear', 'sing', 'flamingo', 'time', 'front', 'sone', 'middle', 'schooler', 'almost', 'get', 'trample', 'kid', 'try', 'get', 'tiktok', 'adult', 'instinct', 'kick', 'clam', 'immediately', 'cause', 'know', 'bad', 'business']",1,"[0.024875621890547255, 0.03980099502487563, 0.024875621890547255, 0.02819237147595356, 0.04145936981757878, 0.026533996683250405, 0.024875621890547255, 0.06467661691542287, 0.02653399668325041, 0.024875621890547255, 0.04975124378109453, 0.04311774461028193, 0.026533996683250405, 0.03980099502487563, 0.03482587064676616, 0.026533996683250405, 0.024875621890547255, 0.026533996683250405, 0.024875621890547255, 0.03980099502487563, 0.03316749585406303, 0.03316749585406303, 0.024875621890547255, 0.03814262023217248, 0.03980099502487563, 0.05140961857379768, 0.024875621890547255, 0.03648424543946933, 0.02985074626865671, 0.024875621890547255]"
10,1116791713853370368,2019-04-12 19:54:28,like how there snapchat filter that do vhs texture over your face and how a lot of movie trailer have glitchy texture to show tension its just interesting to me,snapchat,"['snapchat', 'filter', 'do', 'texture', 'face', 'lot', 'movie', 'trailer', 'have', 'glitchy', 'texture', 'show', 'tension', 'interesting']",1,"[0.0273224043715847, 0.04553734061930786, 0.03278688524590165, 0.0273224043715847, 0.0273224043715847, 0.0273224043715847, 0.0273224043715847, 0.04371584699453554, 0.0273224043715847, 0.0273224043715847, 0.04189435336976322, 0.041894353369763215, 0.0273224043715847, 0.05464480874316942, 0.07468123861566486, 0.0273224043715847, 0.029143897996357016, 0.034608378870673966, 0.0273224043715847, 0.0273224043715847, 0.03460837887067396, 0.0273224043715847, 0.041894353369763215, 0.0273224043715847, 0.0273224043715847, 0.0273224043715847, 0.0273224043715847, 0.03278688524590164, 0.0273224043715847, 0.0273224043715847]"
11,1116778876875759616,2019-04-12 19:03:27,hey betsy sorry to hear you are having an issue with your snapables could you make sure youre running on the latest version of the application and let u know if you are still having trouble,snapchat,"['betsy', 'sorry', 'hear', 'be', 'have', 'issue', 'snappable', 'could', 'make_sure', 'running', 'latest_version', 'app', 'let_us', 'know', 'be', 'still', 'having_trouble']",1,"[0.026881720430107517, 0.032258064516129024, 0.026881720430107517, 0.039426523297491044, 0.026881720430107517, 0.026881720430107517, 0.043010752688172046, 0.032258064516129024, 0.03763440860215053, 0.030465949820788523, 0.026881720430107517, 0.026881720430107517, 0.026881720430107517, 0.043010752688172046, 0.041218637992831535, 0.026881720430107517, 0.026881720430107517, 0.026881720430107517, 0.030465949820788523, 0.043010752688172046, 0.026881720430107517, 0.04659498207885304, 0.026881720430107517, 0.026881720430107517, 0.05555555555555555, 0.034050179211469536, 0.026881720430107517, 0.028673835125448018, 0.026881720430107517, 0.059139784946236555]"
12,1116769045842235392,2019-04-12 18:24:23,hey i was wondering if there will be an update to fix the extremely zoomed in camera for iphone x user,snapchat,"['wonder', 'update', 'fix', 'extremely', 'camera', 'user']",1,"[0.029239766081871357, 0.029239766081871357, 0.029239766081871357, 0.029239766081871357, 0.040935672514619915, 0.03313840155945421, 0.04678362573099419, 0.029239766081871357, 0.029239766081871357, 0.06042884990253416, 0.029239766081871357, 0.04678362573099419, 0.029239766081871357, 0.03508771929824564, 0.029239766081871357, 0.029239766081871357, 0.029239766081871357, 0.029239766081871357, 0.029239766081871357, 0.029239766081871357, 0.029239766081871357, 0.029239766081871357, 0.029239766081871357, 0.04678362573099419, 0.029239766081871357, 0.029239766081871357, 0.029239766081871357, 0.029239766081871357, 0.04483430799220276, 0.031189083820662784]"
13,1116767084820746240,2019-04-12 18:16:36,hi so when i have something to tell my friend and i go to face time them and they can not answer why can not i leave a little second video mail kind of like a voice mail but for facetime i run into this problem more than id like to admit i mean could just snapchat them but,snapchat,"['have', 'something', 'tell', 'friend', 'go', 'face', 'time', 'answer', 'leave', 'second', 'video', 'mail', 'kinda', 'voice', 'mail', 'facetime', 'run', 'problem', 'like', 'admit', 'mean', 'could', 'snapchat']",1,"[0.02487562189054725, 0.038142620232172464, 0.03980099502487562, 0.0265339966832504, 0.054726368159203974, 0.02487562189054725, 0.0265339966832504, 0.0265339966832504, 0.07296849087893861, 0.028192371475953555, 0.02487562189054725, 0.02487562189054725, 0.02487562189054725, 0.02487562189054725, 0.02487562189054725, 0.02487562189054725, 0.04477611940298507, 0.03648424543946932, 0.056384742951907124, 0.05140961857379767, 0.02487562189054725, 0.02487562189054725, 0.04145936981757877, 0.0265339966832504, 0.02487562189054725, 0.03980099502487562, 0.02487562189054725, 0.04145936981757877, 0.02487562189054725, 0.02487562189054725]"
14,1116764097217998849,2019-04-12 18:04:43,when can i get the black background again this new snap is bad when i tag people in pic it doe not send it to them,snapchat,"['get', 'black', 'background', 'new', 'snap', 'be', 'bad', 'tag', 'ppl', 'pic', 'do', 'not', 'send']",1,"[0.027777777777777783, 0.029629629629629638, 0.027777777777777783, 0.027777777777777783, 0.0351851851851852, 0.027777777777777783, 0.027777777777777783, 0.03148148148148149, 0.027777777777777783, 0.027777777777777783, 0.04259259259259261, 0.027777777777777783, 0.029629629629629634, 0.027777777777777783, 0.027777777777777783, 0.027777777777777783, 0.04629629629629632, 0.05925925925925929, 0.04444444444444447, 0.03333333333333334, 0.04444444444444446, 0.027777777777777783, 0.03703703703703705, 0.04444444444444447, 0.04629629629629632, 0.029629629629629634, 0.027777777777777783, 0.027777777777777783, 0.027777777777777783, 0.029629629629629634]"
15,1116763096067006464,2019-04-12 18:00:45,the quality of the imaging in the android is bad we want a quick solution to this problem,snapchat,"['quality', 'image', 'android', 'be', 'bad', 'want', 'quick', 'solution', 'problem']",1,"[0.02976190476190475, 0.02976190476190475, 0.02976190476190475, 0.035714285714285705, 0.02976190476190475, 0.02976190476190475, 0.02976190476190475, 0.0357142857142857, 0.03174603174603174, 0.061507936507936505, 0.02976190476190475, 0.057539682539682536, 0.02976190476190475, 0.04563492063492064, 0.03174603174603173, 0.02976190476190475, 0.02976190476190475, 0.02976190476190475, 0.02976190476190475, 0.02976190476190475, 0.035714285714285705, 0.02976190476190475, 0.03174603174603174, 0.037698412698412696, 0.02976190476190475, 0.02976190476190475, 0.02976190476190475, 0.02976190476190475, 0.02976190476190475, 0.02976190476190475]"
16,1116762503013261312,2019-04-12 17:58:23,teen who drove mph used snapchat in crash that killed friend is going to prison miami herald,snapchat,"['crash', 'killed_friend', 'be', 'go', 'prison', 'miami', 'herald']",1,"[0.030864197530864182, 0.03497942386831274, 0.030864197530864182, 0.03292181069958846, 0.04526748971193415, 0.030864197530864182, 0.030864197530864182, 0.030864197530864182, 0.039094650205761305, 0.06790123456790122, 0.030864197530864182, 0.030864197530864182, 0.030864197530864182, 0.030864197530864182, 0.030864197530864182, 0.030864197530864182, 0.03703703703703702, 0.030864197530864182, 0.030864197530864182, 0.030864197530864182, 0.030864197530864182, 0.03292181069958846, 0.030864197530864182, 0.030864197530864182, 0.030864197530864182, 0.030864197530864182, 0.030864197530864182, 0.030864197530864182, 0.030864197530864182, 0.030864197530864182]"
17,1116757802825940993,2019-04-12 17:39:43,still run like shit even on a oneplus all we are asking for is for you to fix the camera quality i know how make the application actually use the camera maybe,snapchat,"['still', 'run', 'shit', 'even', 'oneplus', 'ask', 'be', 'fix', 'camera_quality', 'know', 'make', 'app', 'actually', 'use', 'camera', 'maybe']",1,"[0.027777777777777776, 0.027777777777777776, 0.027777777777777776, 0.027777777777777776, 0.03333333333333335, 0.027777777777777776, 0.027777777777777776, 0.027777777777777776, 0.02962962962962963, 0.029629629629629634, 0.027777777777777776, 0.07407407407407408, 0.027777777777777776, 0.05185185185185187, 0.027777777777777776, 0.027777777777777776, 0.02962962962962963, 0.027777777777777776, 0.027777777777777776, 0.051851851851851864, 0.027777777777777776, 0.02962962962962963, 0.04074074074074076, 0.03333333333333334, 0.02962962962962963, 0.02962962962962963, 0.027777777777777776, 0.04444444444444446, 0.027777777777777776, 0.04814814814814816]"
18,1116757793514512384,2019-04-12 17:39:40,do not think anything in that video is bad but andy firth is a fucking idiot uploading all that to snapchat just scream of a normal guy not aware of consequence of doing so id imagine hell be getting social medium training and his baws toed,snapchat,"['think', 'anything', 'video', 'be', 'bad', 'andy', 'firth', 'be', 'fuck', 'idiot', 'upload', 'scream', 'normal', 'guy', 'not', 'aware', 'consequence', 'do', 'imagine', 'get', 'social_media', 'training', 'baw', 'toe']",1,"[0.023148148148148147, 0.02623456790123457, 0.024691358024691357, 0.023148148148148147, 0.0617283950617284, 0.023148148148148147, 0.03549382716049384, 0.027777777777777787, 0.06635802469135803, 0.02623456790123457, 0.023148148148148147, 0.03703703703703705, 0.023148148148148147, 0.023148148148148147, 0.024691358024691357, 0.03549382716049384, 0.0617283950617284, 0.03703703703703705, 0.06635802469135803, 0.03858024691358026, 0.030864197530864203, 0.04783950617283952, 0.024691358024691357, 0.024691358024691357, 0.027777777777777787, 0.023148148148148147, 0.023148148148148147, 0.03549382716049384, 0.030864197530864203, 0.023148148148148147]"
19,1116755372792930304,2019-04-12 17:30:03,snapchat just introduced bitmoji party and i amgoing to get in so much trouble at work,snapchat,"['introduce', 'bitmoji', 'party', 'go', 'get', 'much', 'trouble', 'work']",1,"[0.030864197530864185, 0.04938271604938271, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.04938271604938271, 0.030864197530864185, 0.030864197530864185, 0.032921810699588466, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.032921810699588466, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.037037037037037035, 0.04938271604938271, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.03909465020576131, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185]"
20,1116753774486310912,2019-04-12 17:23:42,we have suffered for many year it is too late to fix this mistake and i can not use this application anymore much more better,snapchat,"['have', 'suffer', 'many', 'year', 'late', 'fix', 'mistake', 'can', 'not', 'use', 'app', 'anymore', 'much', 'better']",1,"[0.0273224043715847, 0.04371584699453554, 0.038251366120218594, 0.0273224043715847, 0.03278688524590164, 0.0273224043715847, 0.04918032786885248, 0.03096539162112933, 0.0273224043715847, 0.0273224043715847, 0.0273224043715847, 0.0273224043715847, 0.0273224043715847, 0.056466302367941736, 0.03096539162112933, 0.0273224043715847, 0.04371584699453554, 0.0273224043715847, 0.04371584699453554, 0.0273224043715847, 0.04371584699453554, 0.0273224043715847, 0.04918032786885248, 0.0273224043715847, 0.04371584699453554, 0.0273224043715847, 0.0273224043715847, 0.029143897996357016, 0.0273224043715847, 0.0273224043715847]"
21,1116746483473235968,2019-04-12 16:54:44,i want to change my snapchat username so bad,snapchat,"['want', 'change', 'username', 'soooo', 'bad']",1,"[0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.04402515723270441, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03563941299790356, 0.03144654088050314, 0.037735849056603786, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.05031446540880504, 0.03144654088050314, 0.03144654088050314, 0.046121593291404625, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314, 0.03144654088050314]"
