trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
,,"('not', 'hear', 'audio')",6
,,"('this', 'application', 'keep')",6
,,"('this', 'new', 'version')",6
,,"('internet', 'connection', 'not')",6
,,"('whatsit', 'stopped', 'working')",6
,,"('this', 'version', 'not')",6
,,"('not', 'get', 'notification')",6
,,"('able', 'send', 'receive')",6
,,"('unles', 'open', 'application')",6
,,"('please', 'help', 'this')",6
,,"('new', 'update', 'problem')",6
,,"('update', 'whats', 'application')",6
,,"('doe', 'not', 'play')",6
,,"('not', 'working', 'today')",6
,,"('in', 'whatsit', 'status')",6
,,"('time', 'doe', 'not')",6
,,"('receive', 'message', 'please')",6
,,"('send', 'message', 'even')",6
,,"('whatsit', 'please', 'fix')",6
,,"('see', 'status', 'update')",6
,,"('this', 'application', 'problem')",6
,,"('open', 'application', 'not')",6
,,"('video', 'calling', 'quality')",6
,,"('send', 'message', 'whatsit')",6
,,"('update', 'latest', 'version')",6
,,"('whatsit', 'not', 'sending')",6
,,"('new', 'update', 'please')",6
,,"('not', 'sending', 'message')",6
,,"('download', 'this', 'application')",6
,,"('application', 'latest', 'version')",6
,,"('new', 'update', 'worst')",6
,,"('application', 'not', 'download')",6
,,"('not', 'able', 'receive')",6
,,"('in', 'next', 'update')",6
,,"('this', 'application', 'bad')",6
,,"('not', 'working', 'this')",6
,,"('working', 'not', 'working')",6
,,"('update', 'status', 'not')",6
,,"('this', 'whatsit', 'not')",6
,,"('this', 'application', 'good')",6
,,"('whatsit', 'not', 'use')",6
,,"('please', 'solve', 'issue')",6
,,"('profile', 'pic', 'not')",6
,,"('not', 'download', 'video')",6
,,"('not', 'good', 'please')",6
,,"('video', 'call', 'this')",6
,,"('like', 'this', 'application')",6
,,"('not', 'hear', 'voice')",6
,,"('not', 'getting', 'notification')",6
,,"('latest', 'version', 'whatsit')",6
,,"('doe', 'not', 'appear')",6
,,"('voice', 'call', 'not')",6
,,"('problem', 'please', 'fix')",6
,,"('message', 'not', 'come')",6
,,"('last', 'update', 'message')",6
,,"('see', 'status', 'friend')",6
,,"('video', 'status', 'another')",6
,,"('whatsit', 'not', 'showing')",6
,,"('doe', 'not', 'even')",6
,,"('not', 'able', 'hear')",6
,,"('contact', 'did', 'not')",6
,,"('status', 'please', 'fix')",5
,,"('work', 'not', 'send')",5
,,"('this', 'application', 'suck')",5
,,"('not', 'in', 'contact')",5
,,"('in', 'contact', 'list')",5
,,"('in', 'application', 'not')",5
,,"('updated', 'whatsit', 'whatsit')",5
,,"('not', 'send', 'chat')",5
,,"('new', 'update', 'version')",5
,,"('tried', 'uninstaling', 'installing')",5
,,"('using', 'this', 'application')",5
,,"('sending', 'message', 'not')",5
,,"('please', 'resolve', 'this')",5
,,"('not', 'sent', 'receive')",5
,,"('this', 'issue', 'not')",5
,,"('this', 'application', 'really')",5
,,"('status', 'video', 'play')",5
,,"('day', 'this', 'application')",5
,,"('wa', 'application', 'not')",5
,,"('not', 'hear', 'sound')",5
,,"('could', 'not', 'send')",5
