quadgrams_tweets,frequency,quadgrams_reviews,frequency_reviews
"('set', 'in', 'contact', 'aplicationit')",4,"('set', 'in', 'contact', 'aplicationit')",4.0
"('update', 'whatsit', 'not', 'working')",4,"('update', 'whatsit', 'not', 'working')",4.0
"('voice', 'message', 'not', 'working')",4,"('voice', 'message', 'not', 'working')",4.0
"('voice', 'call', 'video', 'call')",4,"('voice', 'call', 'video', 'call')",4.0
"('update', 'not', 'able', 'send')",4,"('update', 'not', 'able', 'send')",4.0
"('error', 'message', 'saying', 'whatsit')",4,"('error', 'message', 'saying', 'whatsit')",4.0
"('message', 'saying', 'whatsit', 'stopped')",4,"('message', 'saying', 'whatsit', 'stopped')",4.0
"('saying', 'whatsit', 'stopped', 'working')",4,"('saying', 'whatsit', 'stopped', 'working')",4.0
"('please', 'help', 'unable', 'send')",3,,
"('show', 'typing', 'even', 'person')",3,,
"('typing', 'even', 'person', 'not')",3,,
"('status', 'please', 'fix', 'this')",3,,
"('doe', 'not', 'work', 'in')",3,,
"('not', 'see', 'people', 'status')",3,,
"('whatsit', 'call', 'video', 'call')",3,,
"('issue', 'unable', 'send', 'picture')",3,,
"('this', 'whatsit', 'not', 'working')",3,,
"('not', 'working', 'in', 'phone')",3,,
"('update', 'screen', 'doe', 'not')",3,,
"('application', 'not', 'work', 'properly')",3,,
"('not', 'able', 'send', 'medium')",3,,
"('not', 'able', 'use', 'whatsit')",3,,
"('update', 'not', 'send', 'video')",3,,
"('unable', 'send', 'picture', 'video')",3,,
"('in', 'whatsit', 'please', 'fix')",3,,
"('file', 'format', 'not', 'supported')",3,,
"('still', 'update', 'remove', 'muted')",3,,
"('update', 'remove', 'muted', 'status')",3,,
"('muted', 'status', 'update', 'requesting')",3,,
"('status', 'update', 'requesting', 'this')",3,,
"('update', 'requesting', 'this', 'month')",3,,
"('requesting', 'this', 'month', 'ignored')",3,,
"('this', 'month', 'ignored', 'muted')",3,,
"('month', 'ignored', 'muted', 'status')",3,,
"('ignored', 'muted', 'status', 'update')",3,,
"('muted', 'status', 'update', 'still')",3,,
"('status', 'update', 'still', 'visible')",3,,
"('update', 'still', 'visible', 'really')",3,,
"('still', 'visible', 'really', 'annoying')",3,,
"('visible', 'really', 'annoying', 'please')",3,,
"('really', 'annoying', 'please', 'remove')",3,,
"('annoying', 'please', 'remove', 'muted')",3,,
"('please', 'remove', 'muted', 'status')",3,,
"('not', 'send', 'voice', 'message')",3,,
"('update', 'not', 'send', 'photo')",3,,
"('not', 'send', 'photo', 'video')",3,,
"('not', 'open', 'in', 'mobile')",3,,
