trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
,,"('private', 'story', 'please', 'fix')",8
,,"('new', 'update', 'horrible', 'not')",8
,,"('soon', 'possible', 'new', 'update')",8
,,"('not', 'save', 'camera', 'roll')",8
,,"('since', 'new', 'update', 'new')",8
,,"('doe', 'not', 'work', 'well')",7
,,"('since', 'recent', 'update', 'not')",7
,,"('update', 'not', 'get', 'notification')",7
,,"('new', 'update', 'made', 'snapshot')",7
,,"('new', 'update', 'suck', 'like')",7
,,"('see', 'anyone', 'private', 'story')",7
,,"('not', 'save', 'entire', 'story')",7
,,"('application', 'doe', 'not', 'work')",7
,,"('application', 'this', 'new', 'update')",7
,,"('not', 'even', 'take', 'picture')",7
,,"('not', 'move', 'camera', 'roll')",7
,,"('ever', 'since', 'newest', 'update')",7
,,"('camera', 'roll', 'please', 'fix')",7
,,"('message', 'week', 'ago', 'not')",7
,,"('week', 'ago', 'not', 'send')",7
,,"('story', 'this', 'new', 'update')",7
,,"('doe', 'not', 'let', 'save')",7
,,"('camera', 'super', 'zoomed', 'in')",7
,,"('not', 'even', 'save', 'story')",7
,,"('this', 'issue', 'soon', 'possible')",7
,,"('get', 'back', 'older', 'version')",7
,,"('camera', 'zoomed', 'in', 'way')",7
,,"('application', 'since', 'new', 'update')",7
,,"('really', 'like', 'new', 'update')",7
,,"('not', 'work', 'new', 'update')",7
,,"('since', 'this', 'new', 'update')",7
,,"('see', 'people', 'private', 'story')",7
,,"('not', 'like', 'this', 'new')",7
,,"('snapshot', 'not', 'working', 'properly')",7
,,"('please', 'fix', 'this', 'this')",7
,,"('update', 'since', 'new', 'update')",7
,,"('this', 'new', 'android', 'update')",7
,,"('put', 'picture', 'camera', 'roll')",7
,,"('update', 'ever', 'since', 'update')",6
,,"('this', 'new', 'update', 'made')",6
,,"('front', 'camera', 'way', 'zoomed')",6
,,"('love', 'snapshot', 'new', 'update')",6
,,"('new', 'update', 'not', 'letting')",6
,,"('update', 'not', 'save', 'picture')",6
,,"('update', 'application', 'not', 'working')",6
,,"('update', 'doe', 'not', 'work')",6
,,"('snapshot', 'hate', 'new', 'update')",6
,,"('not', 'get', 'new', 'update')",6
,,"('love', 'this', 'application', 'this')",6
,,"('want', 'old', 'snapshot', 'back')",6
,,"('application', 'not', 'even', 'open')",6
,,"('please', 'fix', 'this', 'hate')",6
,,"('not', 'view', 'snap', 'sent')",6
,,"('camera', 'doe', 'not', 'work')",6
,,"('eye', 'camera', 'roll', 'not')",6
,,"('since', 'new', 'update', 'application')",6
,,"('go', 'back', 'previous', 'update')",6
,,"('camera', 'roll', 'picture', 'eye')",6
,,"('this', 'new', 'update', 'horrible')",6
,,"('update', 'not', 'even', 'open')",6
,,"('love', 'this', 'application', 'however')",6
,,"('application', 'since', 'last', 'update')",6
,,"('new', 'snapshot', 'alpha', 'android')",6
,,"('this', 'application', 'not', 'even')",6
,,"('wish', 'could', 'go', 'back')",6
,,"('update', 'not', 'let', 'post')",6
,,"('memory', 'camera', 'roll', 'private')",6
,,"('new', 'update', 'not', 'working')",6
,,"('new', 'update', 'really', 'bad')",6
,,"('zoomed', 'in', 'way', 'much')",6
,,"('not', 'let', 'log', 'back')",6
,,"('new', 'update', 'make', 'everything')",6
,,"('new', 'update', 'not', 'put')",6
,,"('select', 'multiple', 'snap', 'in')",6
,,"('multiple', 'snap', 'in', 'memory')",6
,,"('snap', 'camera', 'roll', 'eye')",6
,,"('application', 'please', 'fix', 'this')",6
,,"('this', 'new', 'update', 'terrible')",6
,,"('unload', 'video', 'camera', 'roll')",6
,,"('not', 'even', 'use', 'application')",6
,,"('new', 'update', 'this', 'application')",6
,,"('not', 'see', 'people', 'private')",6
,,"('new', 'update', 'doe', 'let')",6
,,"('not', 'see', 'anyone', 'private')",6
,,"('not', 'see', 'friend', 'private')",6
,,"('zoomed', 'in', 'please', 'fix')",6
,,"('not', 'able', 'see', 'streak')",6
,,"('fix', 'new', 'update', 'suck')",6
,,"('like', 'new', 'update', 'new')",6
,,"('last', 'update', 'not', 'able')",6
,,"('in', 'please', 'fix', 'this')",6
,,"('latest', 'update', 'latest', 'update')",6
,,"('this', 'new', 'update', 'absolutely')",6
,,"('not', 'select', 'multiple', 'snap')",6
,,"('doe', 'not', 'let', 'add')",6
,,"('photo', 'eye', 'camera', 'roll')",6
,,"('someone', 'sends', 'one', 'picture')",6
,,"('sends', 'one', 'picture', 'time')",6
,,"('camera', 'roll', 'new', 'update')",5
,,"('recent', 'update', 'not', 'get')",5
,,"('not', 'view', 'private', 'story')",5
,,"('new', 'update', 'not', 'get')",5
,,"('please', 'go', 'back', 'old')",5
,,"('not', 'like', 'update', 'not')",5
,,"('this', 'this', 'new', 'update')",5
,,"('update', 'not', 'save', 'whole')",5
,,"('new', 'update', 'made', 'application')",5
,,"('absolutely', 'hate', 'new', 'update')",5
,,"('camera', 'zoomed', 'in', 'galaxy')",5
,,"('doe', 'not', 'let', 'see')",5
,,"('update', 'not', 'let', 'add')",5
,,"('use', 'front', 'facing', 'camera')",5
,,"('annoying', 'please', 'fix', 'this')",5
,,"('fix', 'this', 'hate', 'new')",5
,,"('update', 'suck', 'not', 'even')",5
,,"('go', 'back', 'last', 'version')",5
,,"('not', 'like', 'this', 'application')",5
,,"('not', 'post', 'private', 'story')",5
,,"('private', 'story', 'doe', 'not')",5
,,"('post', 'anything', 'camera', 'roll')",5
,,"('private', 'story', 'camera', 'roll')",5
,,"('update', 'trash', 'not', 'save')",5
,,"('please', 'change', 'new', 'update')",5
,,"('not', 'select', 'multiple', 'photo')",5
,,"('multiple', 'photo', 'camera', 'roll')",5
,,"('not', 'save', 'pic', 'camera')",5
,,"('love', 'this', 'application', 'new')",5
,,"('this', 'application', 'new', 'update')",5
,,"('new', 'update', 'really', 'really')",5
,,"('since', 'got', 'new', 'update')",5
,,"('not', 'save', 'multiple', 'photo')",5
,,"('update', 'not', 'working', 'properly')",5
,,"('not', 'happy', 'new', 'update')",5
,,"('update', 'really', 'bad', 'not')",5
,,"('eye', 'please', 'get', 'back')",5
,,"('please', 'get', 'back', 'older')",5
,,"('not', 'save', 'photo', 'video')",5
,,"('flash', 'doe', 'not', 'work')",5
,,"('not', 'let', 'post', 'anything')",5
,,"('since', 'this', 'latest', 'update')",5
,,"('this', 'new', 'update', 'stupid')",5
,,"('not', 'send', 'snap', 'story')",5
,,"('picture', 'camera', 'roll', 'into')",5
,,"('update', 'not', 'let', 'unload')",5
,,"('not', 'let', 'unload', 'video')",5
,,"('update', 'not', 'allow', 'save')",5
,,"('snapshot', 'doe', 'not', 'work')",5
,,"('not', 'really', 'like', 'new')",5
,,"('not', 'save', 'story', 'memory')",5
,,"('since', 'update', 'not', 'even')",5
,,"('use', 'this', 'application', 'time')",5
,,"('not', 'let', 'send', 'video')",5
,,"('please', 'solve', 'this', 'issue')",5
,,"('front', 'facing', 'camera', 'not')",5
,,"('not', 'let', 'see', 'memory')",5
,,"('doe', 'not', 'make', 'sense')",5
,,"('camera', 'roll', 'onto', 'private')",5
,,"('roll', 'onto', 'private', 'story')",5
,,"('not', 'see', 'private', 'story')",5
,,"('not', 'even', 'select', 'multiple')",5
,,"('not', 'let', 'take', 'picture')",5
,,"('hate', 'new', 'update', 'please')",5
,,"('suck', 'new', 'update', 'suck')",5
,,"('this', 'application', 'use', 'this')",5
,,"('application', 'use', 'this', 'application')",5
,,"('new', 'update', 'since', 'new')",5
,,"('change', 'new', 'update', 'back')",5
,,"('new', 'update', 'completely', 'ruined')",5
,,"('update', 'not', 'view', 'snap')",5
,,"('please', 'fix', 'this', 'update')",5
,,"('since', 'new', 'update', 'snapshot')",5
,,"('sham', 'doe', 'not', 'work')",5
,,"('thing', 'camera', 'roll', 'eye')",5
,,"('application', 'chat', 'not', 'appear')",5
