trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
,,"('not', 'like', 'this')",19
,,"('friend', 'private', 'story')",19
,,"('front', 'camera', 'zoomed')",19
,,"('go', 'back', 'old')",18
,,"('snap', 'camera', 'roll')",18
,,"('this', 'application', 'doe')",18
,,"('every', 'time', 'try')",18
,,"('new', 'update', 'android')",18
,,"('like', 'this', 'new')",18
,,"('in', 'chat', 'not')",18
,,"('please', 'bring', 'back')",18
,,"('say', 'waiting', 'send')",18
,,"('this', 'latest', 'update')",18
,,"('select', 'multiple', 'snap')",18
,,"('update', 'not', 'good')",17
,,"('update', 'not', 'get')",17
,,"('new', 'update', 'slow')",17
,,"('fix', 'this', 'bug')",17
,,"('hate', 'this', 'new')",17
,,"('because', 'new', 'update')",17
,,"('worst', 'application', 'ever')",17
,,"('bring', 'back', 'old')",17
,,"('not', 'even', 'send')",17
,,"('update', 'snapshot', 'not')",17
,,"('eye', 'new', 'update')",17
,,"('got', 'new', 'update')",17
,,"('new', 'update', 'longer')",17
,,"('not', 'even', 'see')",17
,,"('video', 'camera', 'roll')",17
,,"('update', 'this', 'new')",17
,,"('still', 'doe', 'not')",16
,,"('not', 'let', 'add')",16
,,"('please', 'go', 'back')",16
,,"('back', 'old', 'snapshot')",16
,,"('zoomed', 'in', 'not')",16
,,"('back', 'old', 'version')",16
,,"('story', 'in', 'memory')",16
,,"('camera', 'roll', 'private')",16
,,"('roll', 'private', 'story')",16
,,"('camera', 'roll', 'into')",16
,,"('fix', 'this', 'this')",16
,,"('fix', 'this', 'not')",16
,,"('not', 'see', 'typing')",16
,,"('not', 'able', 'send')",16
,,"('take', 'long', 'time')",15
,,"('message', 'take', 'forever')",15
,,"('suck', 'new', 'update')",15
,,"('super', 'zoomed', 'in')",15
,,"('roll', 'into', 'eye')",15
,,"('picture', 'in', 'eye')",15
,,"('snap', 'new', 'update')",15
,,"('need', 'fix', 'this')",15
,,"('not', 'let', 'log')",15
,,"('in', 'camera', 'roll')",15
,,"('new', 'update', 'like')",15
,,"('not', 'save', 'pic')",15
,,"('take', 'forever', 'send')",15
,,"('roll', 'eye', 'not')",15
,,"('not', 'save', 'video')",15
,,"('not', 'see', 'memory')",15
,,"('this', 'application', 'keep')",14
,,"('not', 'like', 'update')",14
,,"('chat', 'camera', 'roll')",14
,,"('new', 'update', 'awful')",14
,,"('hate', 'this', 'application')",14
,,"('snap', 'please', 'fix')",14
,,"('update', 'trash', 'not')",14
,,"('application', 'not', 'even')",14
,,"('eye', 'please', 'fix')",14
,,"('save', 'photo', 'camera')",14
,,"('new', 'update', 'say')",14
,,"('application', 'please', 'fix')",14
,,"('not', 'really', 'like')",14
,,"('this', 'update', 'not')",14
,,"('extremely', 'zoomed', 'in')",14
,,"('update', 'made', 'application')",13
,,"('back', 'older', 'version')",13
,,"('new', 'update', 'application')",13
,,"('update', 'application', 'not')",13
,,"('zoomed', 'in', 'camera')",13
,,"('thing', 'camera', 'roll')",13
,,"('not', 'let', 'delete')",13
,,"('please', 'fix', 'snapshot')",13
,,"('able', 'save', 'story')",13
,,"('this', 'application', 'use')",13
,,"('story', 'doe', 'not')",13
,,"('take', 'long', 'load')",13
,,"('camera', 'roll', 'pic')",13
,,"('roll', 'eye', 'anymore')",13
,,"('private', 'story', 'anymore')",13
,,"('please', 'fix', 'problem')",13
,,"('select', 'multiple', 'picture')",13
,,"('new', 'update', 'back')",13
,,"('one', 'picture', 'time')",13
,,"('anything', 'camera', 'roll')",12
,,"('issue', 'new', 'update')",12
,,"('fix', 'this', 'new')",12
,,"('even', 'open', 'application')",12
,,"('did', 'not', 'like')",12
,,"('new', 'update', 'ruined')",12
,,"('update', 'keep', 'crashing')",12
,,"('snapshot', 'this', 'new')",12
,,"('got', 'new', 'phone')",12
,,"('memory', 'private', 'story')",12
,,"('people', 'private', 'story')",12
,,"('in', 'this', 'application')",12
,,"('this', 'application', 'really')",12
,,"('old', 'snapshot', 'back')",12
,,"('new', 'update', 'absolutely')",12
,,"('not', 'getting', 'notification')",12
,,"('post', 'private', 'story')",12
,,"('onto', 'private', 'story')",12
,,"('not', 'go', 'away')",12
,,"('pic', 'camera', 'roll')",12
,,"('not', 'see', 'snap')",12
,,"('not', 'log', 'in')",12
,,"('see', 'private', 'story')",12
,,"('not', 'select', 'one')",12
,,"('issue', 'soon', 'possible')",12
,,"('move', 'picture', 'camera')",12
,,"('roll', 'eye', 'please')",12
,,"('not', 'let', 'open')",12
,,"('update', 'not', 'allow')",12
,,"('not', 'see', 'friend')",12
,,"('update', 'bad', 'not')",12
,,"('using', 'this', 'application')",12
,,"('every', 'single', 'time')",11
