trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
"('trouble', 'accessing', 'facebok')",8.0,"('hate', 'this', 'application')",14
"('soon', 'possible', 'please')",8.0,"('log', 'in', 'not')",14
"('this', 'problem', 'please')",7.0,"('this', 'faceon', 'application')",14
"('please', 'not', 'fix')",7.0,"('not', 'even', 'get')",14
"('still', 'not', 'access')",7.0,"('marketplace', 'doe', 'not')",14
"('not', 'able', 'access')",7.0,"('not', 'able', 'log')",13
"('guy', 'please', 'fix')",7.0,"('post', 'comment', 'like')",13
"('able', 'log', 'in')",7.0,"('not', 'log', 'back')",13
"('log', 'in', 'not')",7.0,"('not', 'work', 'properly')",13
"('ops', 'something', 'went')",7.0,"('latest', 'update', 'not')",13
"('log', 'in', 'account')",7.0,"('not', 'like', 'post')",13
"('code', 'please', 'fix')",7.0,"('application', 'not', 'even')",13
"('still', 'having', 'problem')",7.0,"('let', 'post', 'anything')",13
"('going', 'fix', 'this')",7.0,"('update', 'application', 'not')",13
"('this', 'issue', 'resolved')",7.0,"('doe', 'not', 'allow')",13
"('hour', 'later', 'still')",7.0,"('delete', 'this', 'application')",13
"('doe', 'take', 'fix')",7.0,"('problem', 'this', 'application')",13
"('problem', 'please', 'fix')",7.0,"('still', 'not', 'log')",13
"('error', 'code', 'not')",7.0,"('every', 'time', 'open')",13
"('not', 'upload', 'photo')",7.0,"('worst', 'update', 'ever')",13
"('issue', 'not', 'able')",7.0,"('application', 'please', 'fix')",13
"('not', 'post', 'facebok')",6.0,"('trying', 'log', 'in')",12
"('please', 'fix', 'account')",6.0,"('using', 'this', 'application')",12
"('resolve', 'this', 'problem')",6.0,"('post', 'please', 'fix')",12
"('this', 'issue', 'facebok')",6.0,"('update', 'not', 'see')",12
"('please', 'help', 'not')",6.0,"('this', 'application', 'doe')",12
"('fix', 'problem', 'facebok')",6.0,"('not', 'use', 'faceon')",12
"('able', 'get', 'back')",6.0,"('like', 'comment', 'post')",12
"('this', 'issue', 'not')",6.0,"('not', 'comment', 'not')",12
"('get', 'back', 'in')",6.0,"('keep', 'getting', 'error')",12
"('this', 'issue', 'please')",6.0,"('comment', 'post', 'not')",12
"('issue', 'logging', 'in')",6.0,"('this', 'application', 'get')",12
"('fix', 'log', 'in')",6.0,"('please', 'fix', 'problem')",12
"('soon', 'possible', 'fix')",6.0,"('tried', 'uninstaling', 'installing')",12
"('not', 'get', 'in')",6.0,"('faceon', 'new', 'update')",12
"('fix', 'still', 'not')",6.0,"('not', 'able', 'get')",12
"('social', 'medium', 'platform')",6.0,"('every', 'single', 'time')",12
"('trouble', 'logging', 'in')",6.0,"('fix', 'this', 'faceon')",12
"('fix', 'problem', 'not')",6.0,"('doe', 'this', 'application')",12
"('not', 'letting', 'post')",6.0,"('not', 'update', 'faceon')",12
"('not', 'let', 'log')",6.0,"('post', 'in', 'group')",12
"('not', 'able', 'use')",6.0,"('click', 'click', 'click')",12
"('get', 'error', 'message')",6.0,"('not', 'go', 'away')",11
"('please', 'hurry', 'fix')",6.0,"('comment', 'like', 'anything')",11
"('post', 'not', 'comment')",6.0,"('update', 'not', 'able')",11
"('facebok', 'family', 'aps')",6.0,"('please', 'fix', 'bug')",11
"('unknown', 'network', 'error')",6.0,"('get', 'this', 'application')",11
"('fix', 'this', 'hour')",6.0,"('not', 'like', 'comment')",11
"('people', 'having', 'trouble')",6.0,"('not', 'post', 'not')",11
"('get', 'act', 'together')",6.0,"('not', 'even', 'let')",11
"('long', 'doe', 'take')",6.0,"('post', 'not', 'even')",11
"('whats', 'going', 'not')",6.0,"('not', 'see', 'anything')",11
"('trouble', 'logging', 'into')",5.0,"('not', 'know', 'happened')",11
"('get', 'account', 'back')",5.0,"('sign', 'back', 'in')",11
"('fix', 'this', 'right')",5.0,"('post', 'day', 'ago')",11
"('not', 'working', 'properly')",5.0,"('comment', 'like', 'post')",11
"('log', 'in', 'instagram')",5.0,"('update', 'suck', 'not')",11
"('solve', 'this', 'issue')",5.0,"('application', 'keep', 'getting')",11
"('get', 'into', 'account')",5.0,"('please', 'solve', 'this')",11
"('into', 'facebok', 'account')",5.0,"('market', 'place', 'keep')",11
"('not', 'even', 'get')",5.0,"('not', 'load', 'comment')",11
"('banning', 'people', 'reason')",5.0,"('get', 'back', 'in')",11
"('fix', 'shit', 'please')",5.0,"('please', 'fix', 'issue')",11
"('facebok', 'not', 'even')",5.0,"('not', 'add', 'photo')",11
"('facebok', 'account', 'please')",5.0,"('keep', 'seeing', 'post')",11
"('facing', 'this', 'problem')",5.0,"('hate', 'new', 'update')",11
"('please', 'solve', 'this')",5.0,"('this', 'stupid', 'application')",11
"('having', 'problem', 'facebok')",5.0,"('recent', 'update', 'not')",11
"('problem', 'facebok', 'not')",5.0,"('instal', 'deinstal', 'application')",11
"('log', 'back', 'into')",5.0,"('this', 'application', 'phone')",11
"('instagram', 'please', 'fix')",5.0,"('not', 'use', 'application')",11
"('logging', 'in', 'facebok')",5.0,"('this', 'new', 'version')",11
"('this', 'issue', 'this')",5.0,"('still', 'not', 'working')",10
"('solve', 'problem', 'not')",5.0,"('not', 'working', 'please')",10
"('post', 'anything', 'facebok')",5.0,"('not', 'post', 'status')",10
"('guy', 'gon', 'na')",5.0,"('social', 'medium', 'application')",10
"('fix', 'yal', 'shit')",5.0,"('tried', 'log', 'in')",10
"('not', 'get', 'logged')",5.0,"('this', 'latest', 'update')",10
"('logged', 'into', 'facebok')",5.0,"('not', 'see', 'photo')",10
"('soon', 'possible', 'thank')",5.0,"('in', 'faceon', 'jail')",10
"('not', 'let', 'post')",5.0,"('post', 'not', 'comment')",10
"('still', 'doe', 'not')",5.0,"('faceon', 'application', 'keep')",10
"('day', 'not', 'post')",5.0,"('like', 'comment', 'share')",10
"('in', 'anyone', 'else')",5.0,"('comment', 'share', 'post')",10
"('fix', 'shit', 'not')",5.0,"('would', 'not', 'let')",10
"('fix', 'problem', 'please')",5.0,"('in', 'chronological', 'order')",10
"('still', 'problem', 'not')",5.0,"('working', 'properly', 'not')",10
"('this', 'problem', 'not')",5.0,"('not', 'able', 'open')",10
"('soon', 'possible', 'still')",5.0,"('faceon', 'not', 'even')",10
"('problem', 'not', 'get')",5.0,"('problem', 'soon', 'possible')",10
"('this', 'issue', 'going')",5.0,"('try', 'log', 'in')",10
"('problem', 'not', 'able')",5.0,"('get', 'into', 'account')",10
"('soon', 'possible', 'confirm')",5.0,"('this', 'application', 'please')",10
"('possible', 'confirm', 'issue')",5.0,"('fix', 'this', 'please')",10
"('hurry', 'fix', 'issue')",5.0,"('keep', 'saying', 'maintenance')",10
"('shit', 'please', 'fix')",5.0,"('not', 'post', 'like')",10
"('fix', 'issue', 'soon')",5.0,"('while', 'watching', 'video')",10
"('log', 'in', 'fix')",5.0,"('faceon', 'stopped', 'working')",10
"('facebok', 'instagram', 'not')",5.0,"('time', 'this', 'application')",10
"('fix', 'this', 'crap')",5.0,"('open', 'faceon', 'application')",10
"('having', 'trouble', 'facebok')",5.0,"('this', 'update', 'not')",10
"('facebok', 'instagram', 'whatsap')",5.0,"('update', 'please', 'fix')",10
"('having', 'trouble', 'posting')",5.0,"('not', 'letting', 'post')",10
"('facebok', 'not', 'working')",5.0,"('fixed', 'soon', 'possible')",10
"('take', 'fix', 'this')",5.0,"('got', 'new', 'phone')",10
"('going', 'fix', 'problem')",5.0,"('doe', 'not', 'even')",10
"('not', 'sign', 'in')",5.0,"('still', 'doe', 'not')",10
"('sign', 'in', 'facebok')",5.0,"('cover', 'photo', 'profile')",10
"('this', 'problem', 'fix')",5.0,"('click', 'notification', 'notification')",10
