trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
,,"('this', 'application', 'get')",9
,,"('post', 'not', 'load')",9
,,"('not', 'go', 'away')",9
,,"('update', 'new', 'update')",9
,,"('not', 'unload', 'photo')",9
,,"('post', 'in', 'group')",9
,,"('log', 'in', 'faceon')",9
,,"('instal', 'this', 'application')",9
,,"('please', 'fix', 'application')",9
,,"('using', 'this', 'application')",9
,,"('faceon', 'keep', 'crashing')",9
,,"('update', 'faceon', 'application')",9
,,"('faceon', 'application', 'keep')",9
,,"('last', 'update', 'application')",9
,,"('load', 'news', 'feed')",8
,,"('not', 'see', 'comment')",8
,,"('please', 'fix', 'faceon')",8
,,"('saying', 'not', 'connect')",8
,,"('problem', 'this', 'application')",8
,,"('comment', 'not', 'load')",8
,,"('application', 'not', 'even')",8
,,"('every', 'time', 'update')",8
,,"('keep', 'force', 'closing')",8
,,"('faceon', 'this', 'application')",8
,,"('not', 'work', 'well')",8
,,"('not', 'working', 'application')",8
,,"('new', 'update', 'application')",8
,,"('every', 'single', 'time')",8
,,"('update', 'not', 'even')",8
,,"('not', 'watch', 'video')",8
,,"('this', 'update', 'not')",8
,,"('always', 'say', 'not')",8
,,"('open', 'application', 'application')",8
,,"('faceon', 'keep', 'stopping')",8
,,"('doe', 'not', 'even')",8
,,"('update', 'get', 'worse')",8
,,"('keep', 'getting', 'worse')",8
,,"('open', 'faceon', 'account')",8
,,"('not', 'use', 'application')",8
,,"('application', 'keep', 'shutting')",8
,,"('something', 'went', 'wrong')",7
,,"('fix', 'this', 'not')",7
,,"('faceon', 'new', 'update')",7
,,"('business', 'page', 'not')",7
,,"('work', 'please', 'fix')",7
,,"('updated', 'application', 'not')",7
,,"('issue', 'this', 'application')",7
,,"('not', 'load', 'recent')",7
,,"('in', 'chronological', 'order')",7
,,"('doe', 'not', 'update')",7
,,"('like', 'this', 'application')",7
,,"('post', 'doe', 'not')",7
,,"('log', 'back', 'in')",7
,,"('new', 'update', 'keep')",7
,,"('video', 'not', 'play')",7
,,"('not', 'load', 'new')",7
,,"('update', 'news', 'feed')",7
,,"('doe', 'not', 'allow')",7
,,"('in', 'this', 'update')",7
,,"('doe', 'this', 'application')",7
,,"('see', 'friend', 'post')",7
,,"('please', 'solve', 'this')",7
,,"('time', 'open', 'faceon')",7
,,"('not', 'see', 'photo')",7
,,"('not', 'get', 'into')",7
,,"('open', 'application', 'close')",7
,,"('please', 'help', 'not')",7
,,"('log', 'in', 'account')",7
,,"('update', 'keep', 'crashing')",7
,,"('faceon', 'please', 'fix')",7
,,"('newest', 'update', 'not')",7
,,"('feed', 'not', 'loading')",7
,,"('faceon', 'market', 'place')",7
,,"('not', 'show', 'notification')",7
,,"('open', 'this', 'application')",7
,,"('not', 'see', 'picture')",7
,,"('faceon', 'not', 'open')",7
,,"('application', 'stopped', 'working')",7
,,"('saying', 'faceon', 'stopped')",7
,,"('this', 'application', 'bad')",7
,,"('update', 'not', 'let')",7
,,"('recent', 'update', 'application')",7
,,"('update', 'application', 'crash')",7
,,"('recent', 'update', 'not')",7
,,"('not', 'even', 'get')",7
,,"('not', 'able', 'see')",7
,,"('open', 'faceon', 'application')",7
,,"('not', 'want', 'see')",7
,,"('this', 'application', 'because')",7
,,"('latest', 'update', 'application')",7
,,"('not', 'open', 'comment')",7
,,"('keep', 'crashing', 'update')",7
,,"('not', 'even', 'load')",6
,,"('day', 'ago', 'not')",6
,,"('not', 'load', 'news')",6
,,"('social', 'medium', 'application')",6
,,"('time', 'please', 'fix')",6
,,"('not', 'load', 'anything')",6
,,"('not', 'load', 'page')",6
,,"('in', 'comment', 'section')",6
,,"('not', 'interested', 'in')",6
,,"('recent', 'feed', 'not')",6
,,"('video', 'doe', 'not')",6
,,"('not', 'play', 'video')",6
,,"('this', 'application', 'phone')",6
,,"('application', 'not', 'allow')",6
,,"('new', 'update', 'new')",6
,,"('because', 'this', 'application')",6
,,"('doe', 'not', 'want')",6
,,"('face', 'book', 'not')",6
,,"('solve', 'this', 'problem')",6
,,"('still', 'not', 'working')",6
,,"('this', 'application', 'need')",6
,,"('faceon', 'not', 'letting')",6
